統一編號,商業名稱,商業地址,登記狀態,經度,緯度,類別
2382927,黑傑克原味炭烤牛排館,新北市新莊區公園路5號,核准設立,121.44726,25.038694,餐館業
2383313,鑫玉小吃店,新北市新莊區後港一路65巷2號,核准設立,121.426527,25.026686,餐館業
2383496,榮記筒仔米糕,新北市板橋區裕民街47號,核准設立,121.461388,25.028524,餐館業
2383714,晶華早餐店,新北市淡水區新春街177之1號,核准設立,121.443633,25.181081,餐館業
2384158,帝王堡早餐店,新北市板橋區南雅南路2段144巷10號,核准設立,121.451083,24.995997,餐館業
2386114,名食天下便當店,新北市永和區永和路1段49巷19弄6號,核准設立,121.512032,25.007111,餐館業
2386162,佳懋企業社,新北市板橋區新北市板橋區大東街4號,核准設立,,,餐館業
2386297,吉利小吃店,新北市金山區和平街4號,核准設立,121.636729,25.221695,餐館業
2386563,新貞宿小吃店,新北市永和區永貞路328號,核准設立,121.51137,25.005386,餐館業
2387438,好朋友鐵板燒,新北市泰山區明志路1段477號,核准設立,121.430823,25.055608,餐館業
2388231,永食小吃店,新北市新莊區中和街216號,核准設立,121.448092,25.050905,餐館業
2388295,九大實業,新北市中和區員山路370號,核准設立,121.480871,25.003954,餐館業
2388746,多多鍋餐飲企業社,新北市板橋區金門街339之1號,核准設立,121.429225,24.985585,餐館業
2389999,愛兒比企業社,新北市汐止區大同路二段653號,核准設立,121.664678,25.071642,餐館業
2390047,茶香早餐店,新北市樹林區鎮前街122號,核准設立,121.42467,24.990941,餐館業
2390460,黑鑽石咖啡館,新北市板橋區府中路1號,核准設立,121.460089,25.009659,餐館業
2390763,米特食堂,新北市淡水區仁愛街2巷33號,核准設立,121.446507,25.171336,餐館業
2390829,祿存小吃店,新北市汐止區仁愛路１５０號,核准設立,121.663862,25.064558,餐館業
2390861,寶業華小吃店,新北市中和區興南路2段88號,核准設立,121.505532,24.984532,餐館業
2391377,金亞小吃店,新北市新店區中興路3段234號,核准設立,121.543304,24.983638,餐館業
2392896,京田津鋪,新北市三重區重陽路1段130巷10號,核准設立,121.486237,25.060406,餐館業
2393179,莊家班麻油雞,新北市板橋區四維路322號,核准設立,121.462355,25.030138,餐館業
2393537,亞米洛晨間餐坊,新北市板橋區雨農路20號,核准設立,121.46177,25.024682,餐館業
2393874,五餅二魚早餐店,新北市汐止區秀峰路6巷2號,核准設立,121.659144,25.066776,餐館業
2394917,銀河商行,新北市板橋區文化路2段182巷3弄16號,核准設立,121.471896,25.027716,餐館業
2395057,蔬品星星小吃店,新北市新店區新店路211號,核准設立,121.537092,24.956915,餐館業
2396210,哥基索桑小吃店,新北市中和區連城路141號,核准設立,121.49586,24.998718,餐館業
2396611,文化天秤咖啡館,新北市板橋區文化路1段175、177號,核准設立,121.46739,25.023145,餐館業
2396801,野格厚切牛排館,新北市中和區民德路136號,核准設立,121.468656,25.000702,餐館業
2397294,呈啟小吃店,新北市蘆洲區中興街３８號,核准設立,121.481282,25.087105,餐館業
2398189,喜洋洋餐飲店,新北市板橋區國光路4號,核准設立,121.456737,25.017273,餐館業
2403471,有容小吃店,新北市板橋區金門街299號,核准設立,121.430076,24.986487,餐館業
2404632,第二隻鴨舖,新北市三重區力行路2段124號,核准設立,121.482129,25.075332,餐館業
2404865,仁鳳餐館,新北市板橋區懷仁街77巷14號,核准設立,121.477581,25.018791,餐館業
2405772,雲鎮小吃店,新北市中和區南山路215號,核准設立,121.503082,24.994345,餐館業
2405962,金金小吃店,新北市三重區大同南路19巷3號,核准設立,121.495415,25.060869,餐館業
2406239,茱蒂漢堡店,新北市新店區中興路3段191號,核准設立,121.543798,24.981248,餐館業
2406250,阿嬌海鮮館,新北市萬里區龜吼里漁澳80號,核准設立,121.686967,25.195863,餐館業
2406815,吉力美食商舖,新北市三峽區大觀路303號,核准設立,121.373595,24.946646,餐館業
2406907,喬林小吃店,新北市林口區中山路273號,核准設立,121.384889,25.07959,餐館業
2407440,玉美小吃店,新北市樹林區復興路294號,核准設立,121.417227,24.987438,餐館業
2407504,小吃王餐飲店,新北市汐止區大同路2段312巷20號,核准設立,121.655931,25.065666,餐館業
2408216,阿桃越南小吃,新北市雙溪區中華路42號,核准設立,121.866002,25.037375,餐館業
2408314,瀚英商行,新北市新莊區民安西路376號,核准設立,121.427503,25.010619,餐館業
2408813,烏咪小棧,新北市金山區海興路156號,核准設立,121.632807,25.239392,餐館業
2409448,美園小吃店,新北市三重區大同南路26巷3號,核准設立,121.495971,25.060471,餐館業
2409714,歐法小吃店,新北市板橋區文聖街61號,核准設立,121.476831,25.031056,餐館業
2410228,嘟嘟早餐坊,新北市中和區連城路265之3號,核准設立,121.491121,24.996277,餐館業
